model,dataset,lambda,corruption,accuracy
ProtoSViT,Stanford Cars-C,1.0,elastic_transform,80.17659783363342
ProtoSViT,Stanford Cars-C,0.0,fog,93.34659576416016
ProtoSViT,Stanford Cars-C,0.3,fog,93.34659576416016
ProtoSViT,Stanford Cars-C,0.5,fog,93.3963418006897
ProtoSViT,Stanford Cars-C,0.7,fog,93.37146878242493
ProtoSViT,Stanford Cars-C,1.0,fog,92.63772964477539
ProtoSViT,Stanford Cars-C,0.0,frost,89.9266242980957
ProtoSViT,Stanford Cars-C,0.3,frost,89.88931775093079
ProtoSViT,Stanford Cars-C,0.5,frost,89.83957171440125
ProtoSViT,Stanford Cars-C,0.7,frost,89.86444473266602
ProtoSViT,Stanford Cars-C,1.0,frost,88.47158551216125
ProtoSViT,Stanford Cars-C,0.0,gaussian_blur,80.7859718799591
ProtoSViT,Stanford Cars-C,0.3,gaussian_blur,81.03469610214233
ProtoSViT,Stanford Cars-C,0.5,gaussian_blur,80.82327842712402
ProtoSViT,Stanford Cars-C,0.7,gaussian_blur,81.10931515693665
ProtoSViT,Stanford Cars-C,1.0,gaussian_blur,78.42308282852173
ProtoSViT,Stanford Cars-C,0.0,gaussian_noise,89.77739214897156
ProtoSViT,Stanford Cars-C,0.3,gaussian_noise,89.80226516723633
ProtoSViT,Stanford Cars-C,0.5,gaussian_noise,89.70277309417725
ProtoSViT,Stanford Cars-C,0.7,gaussian_noise,89.71520662307739
ProtoSViT,Stanford Cars-C,1.0,gaussian_noise,88.09849619865417
ProtoSViT,Stanford Cars-C,0.0,impulse_noise,89.3048107624054
ProtoSViT,Stanford Cars-C,0.3,impulse_noise,89.35455679893494
ProtoSViT,Stanford Cars-C,0.5,impulse_noise,89.35455679893494
ProtoSViT,Stanford Cars-C,0.7,impulse_noise,89.29237723350525
ProtoSViT,Stanford Cars-C,1.0,impulse_noise,87.66322731971741
ProtoSViT,Stanford Cars-C,0.0,jpeg_compression,92.47605800628662
ProtoSViT,Stanford Cars-C,0.3,jpeg_compression,92.48849749565125
ProtoSViT,Stanford Cars-C,0.5,jpeg_compression,92.52580404281616
ProtoSViT,Stanford Cars-C,0.7,jpeg_compression,92.46362447738647
ProtoSViT,Stanford Cars-C,1.0,jpeg_compression,91.76719188690186
ProtoSViT,Stanford Cars-C,0.0,pixelate,91.5433406829834
ProtoSViT,Stanford Cars-C,0.3,pixelate,91.5433406829834
ProtoSViT,Stanford Cars-C,0.5,pixelate,91.58064723014832
ProtoSViT,Stanford Cars-C,0.7,pixelate,91.56821370124817
ProtoSViT,Stanford Cars-C,1.0,pixelate,90.63549041748047
ProtoSViT,Stanford Cars-C,0.0,shot_noise,90.00124335289001
ProtoSViT,Stanford Cars-C,0.3,shot_noise,89.97637033462524
ProtoSViT,Stanford Cars-C,0.5,shot_noise,90.0634229183197
ProtoSViT,Stanford Cars-C,0.7,shot_noise,90.03854990005493
ProtoSViT,Stanford Cars-C,1.0,shot_noise,88.7576162815094
ProtoSViT,Stanford Cars-C,0.0,speckle_noise,91.232430934906
ProtoSViT,Stanford Cars-C,0.3,speckle_noise,91.29461646080017
ProtoSViT,Stanford Cars-C,0.5,speckle_noise,91.21999740600586
ProtoSViT,Stanford Cars-C,0.7,speckle_noise,91.14537835121155
ProtoSViT,Stanford Cars-C,1.0,speckle_noise,90.4489517211914
